sample_id,K,Keff,B,M,f_ibd,l_ibd,n50_ibd,samps,props
SMI000-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0187-C,1.0
SMI001-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0257-C,1.0
SMI002-K01-B01-M00,1,1.0000000000000002,1,0,0.0,0.0,0.0,QG0291-C,1.0
SMI003-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0253-C,1.0
SMI004-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0252-C,1.0
SMI005-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0266-C,1.0
SMI006-K01-B01-M00,1,1.0000000000000002,1,0,0.0,0.0,0.0,QG0295-C,1.0
SMI007-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0239-C,1.0
SMI008-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0299-C,1.0
SMI009-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0207-C,1.0
SMI000-K02-B02-M00,2,1.6695786807621655,2,0,0.0,0.0,0.0,QG0253-C;QG0218-C,0.2775662982219456;0.7224337017780544
SMI001-K02-B02-M00,2,1.7684105736077125,2,0,0.0,0.0,0.0,QG0247-C;QG0186-C,0.3190586541119898;0.6809413458880101
SMI002-K02-B02-M00,2,1.485142132142384,2,0,0.0,0.0,0.0,QG0270-C;QG0253-C,0.2056055137029242;0.7943944862970759
SMI003-K02-B01-M02,2,1.605387963588042,1,2,0.7652345337068772,521.0530322580646,1003.567,QG0219-C;QG0281-C,0.2521064841750662;0.7478935158249337
SMI004-K02-B02-M00,2,1.744852941978908,2,0,0.0,0.0,0.0,QG0226-C;QG0231-C,0.3088008875946112;0.6911991124053888
SMI005-K02-B01-M01,2,1.967235875403508,1,1,0.482138085784715,407.08068,725.142,QG0205-C;QG0236-C,0.4354730599425748;0.5645269400574251
SMI006-K02-B02-M00,2,1.1582550124366142,2,0,0.0,0.0,0.0,QG0298-C;QG0295-C,0.0737560972474714;0.9262439027525284
SMI007-K02-B02-M00,2,1.9052863234846875,2,0,0.0,0.0,0.0,QG0267-C;QG0250-C,0.3885201882085614;0.6114798117914385
SMI008-K02-B02-M00,2,1.4844949644371648,2,0,0.0,0.0,0.0,QG0239-C;QG0208-C,0.2053563431732122;0.7946436568267878
SMI009-K02-B01-M01,2,1.5739675756726663,1,1,0.2790796479227685,267.76545454545453,410.014,QG0269-C;QG0195-C,0.2398682034402847;0.7601317965597153
SMI000-K03-B03-M00,3,2.837216149293212,3,0,0.0,0.0,0.0,QG0265-C;QG0215-C;QG0232-C,0.2367764921212957;0.3309166007973049;0.4323069070813994
SMI001-K03-B01-M02,3,1.0791626170531712,1,2,0.5938162936786594,447.6546904761905,720.423,QG0287-C;QG0182-C;QG0195-C,0.0103672310708363;0.0274565574791968;0.9621762114499668
SMI002-K03-B02-M02,3,2.478420249131025,2,2,0.1919743021824422,506.5265,749.182,QG0225-C;QG0183-C;QG0213-C,0.1179536724228408;0.4241872989397295;0.4578590286374295
SMI003-K03-B01-M01,3,2.130060290620474,1,1,0.3333333333333333,346.0343606557377,632.339,QG0255-C;QG0291-C;QG0265-C,0.1480258887584349;0.2202825677634401;0.6316915434781251
SMI004-K03-B01-M02,3,2.404827434455115,1,2,0.5684852548203937,321.41896428571425,623.859,QG0263-C;QG0195-C;QG0260-C,0.1298203171127038;0.3341675995795649;0.5360120833077314
SMI005-K03-B01-M02,3,2.345024328411121,1,2,0.4766591611736717,368.0988048780488,545.638,QG0243-C;QG0213-C;QG0297-C,0.0938648646049237;0.393553898185828;0.5125812372092482
SMI006-K03-B02-M02,3,2.782279757640977,2,2,0.2648431199100099,621.1482222222222,1003.567,QG0192-C;QG0279-C;QG0294-C,0.2582498732280002;0.276992516579481;0.4647576101925187
SMI007-K03-B02-M01,3,1.612458286188062,2,1,0.1113818445143828,293.8823333333333,545.638,QG0188-C;QG0237-C;QG0274-C,0.0226635378627711;0.2221497833726726;0.7551866787645563
SMI008-K03-B02-M01,3,2.5645585822317427,2,1,0.1457140110284382,439.3921904761904,923.519,QG0230-C;QG0232-C;QG0182-C,0.1663397717168951;0.3309026906652636;0.5027575376178411
SMI009-K03-B01-M02,3,1.8478791000259969,1,2,0.5907806180150021,370.4035841584157,719.808,QG0296-C;QG0278-C;QG0212-C,0.0656093587956633;0.2432383807178054;0.6911522604865311
SMI000-K04-B02-M01,4,3.160836689754188,2,1,0.1666666666666667,1507.7211428571431,1499.385,QG0279-C;QG0206-C;QG0299-C;QG0207-C,0.0631016160478955;0.2212392710377659;0.2971693685092977;0.418489744405041
SMI001-K04-B02-M01,4,2.510555034121372,2,1,0.1465096851937759,431.5172790697675,675.955,QG0229-C;QG0216-C;QG0184-C;QG0277-C,0.0208130209092556;0.1168685451698906;0.3523229458225198;0.5099954880983338
SMI002-K04-B04-M00,4,2.441289953583841,4,0,0.0,0.0,0.0,QG0204-C;QG0291-C;QG0201-C;QG0183-C,0.0535489004430362;0.0916552401154214;0.2989195973220194;0.555876262119523
SMI003-K04-B01-M02,4,2.981450996043239,1,2,0.4828441655751423,345.4888474576271,668.39,QG0288-C;QG0196-C;QG0289-C;QG0236-C,0.0209859838668976;0.2252760657987717;0.3680092349085563;0.3857287154257743
SMI004-K04-B02-M01,4,2.833522565687248,2,1,0.1343838560016655,378.21164444444446,607.101,QG0269-C;QG0215-C;QG0254-C;QG0247-C,0.1390166321287503;0.1570326041121939;0.1771048523622182;0.5268459113968377
SMI005-K04-B02-M03,4,2.9505289919661988,2,3,0.1859401166895078,287.18354878048785,527.828,QG0193-C;QG0237-C;QG0244-C;QG0203-C,0.0758681639356383;0.1923644595089786;0.2466770079654098;0.4850903685899731
SMI006-K04-B01-M01,4,2.984000181958018,1,1,0.1415690453558672,448.23795,705.795,QG0248-C;QG0247-C;QG0217-C;QG0288-C,0.0574338342656549;0.1654928423483779;0.353092185038419;0.4239811383475479
SMI007-K04-B03-M01,4,3.7289246554185977,3,1,0.1065145730497593,642.3770952380952,1003.567,QG0254-C;QG0300-C;QG0280-C;QG0261-C,0.188540637967144;0.2049842930821016;0.2453510463347884;0.361124022615966
SMI008-K04-B03-M03,4,3.528943361424232,3,3,0.1452235436109443,656.8698214285714,1052.149,QG0293-C;QG0265-C;QG0244-C;QG0230-C,0.1562301030895098;0.1633287056819189;0.3203872634742541;0.360053927754317
SMI009-K04-B01-M03,4,2.3076426385429456,1,3,1.0,1507.721142857143,1499.385,QG0284-C;QG0264-C;QG0244-C;QG0208-C,0.0421327141922162;0.0867963870652246;0.2861171998739246;0.5849536988686345
